,DUKE-00650,DUKE-00651,DUKE-00652,DUKE-00653,DUKE-00654,DUKE-00655,DUKE-00656,DUKE-00657,DUKE-00658,DUKE-00659,DUKE-00660,DUKE-00661,DUKE-00662,DUKE-00663,DUKE-00664,DUKE-00665,DUKE-00666,DUKE-00667,DUKE-00668,DUKE-00669,DUKE-00670,DUKE-00671,DUKE-00672,DUKE-00673,DUKE-00674,DUKE-00675,DUKE-00676,DUKE-00677,DUKE-00678,DUKE-00679
3-phosphoglycerate (isobar with 2-phosphoglycerate),46519.6,81450.1,3510.1,45855.8,81980.8,4689.4,2846.1,66508.4,15613.1,3260.6,12058.9,56438.6,34805.9,,8690.7,26282.8,11066.3,35236.2,77394.6,29789.7,17840.9,12205,29716.6,61863.8,25644.8,2043.9,6420.3,32744,38309.9,44633.5
4-acetamidobutanoate,23874.6,61543.8,22826.1,17551.9,33183.7,20639.5,21337.7,30326.3,30908.2,22856.4,37751,51236.6,36344.8,19437.9,15566.8,16031.3,25631,69478,21176.9,23473.2,91390,34300.9,18177.9,30425.4,182486.7,27168.1,20467.3,25288.9,19504.4,13822.1
4-acetamidophenol,12603,,4062.7,,,,,,,,,9654.3,13529,,,,,,,,,,4501.9,,,5833.4,,,,
4-acetaminophen sulfate,66488.5,4411.6,31671.8,,,1515.1,,,,,,175458.3,82571.2,,15023.7,,4910.4,,,,,,25139.1,,,26040.6,,,,12563
"4-androsten-3beta,17beta-diol disulfate (1)*",6165.6,15899.2,13031.8,5070.3,22032.6,7153,7048.3,21061,3548.8,6099.6,7876.5,,4740.6,48239,8680.8,8730.5,13577.5,2655.2,9538.3,4931.8,,,5501.6,5450.7,4710.5,7707.1,2866.4,5329.2,11357.5,11525.3
4-ethylphenylsulfate,,,,,,2216.8,,,,93422.1,,,,16300.7,3084.1,,,,,,,,,,,,,,,
4-hydroxybutyrate (GHB),33105,29442,29956,18417,80899,19056,,,,16874,39480,12214,19256,,16885,22575,36287.1,62772.9,17070,28804.8,38434,48910,61276.6,35949,115987.4,33126,43249,,18618,30428
4-hydroxyphenylpyruvate,5489.5,15696.6,3197.2,5561.9,3255.8,4172,25381.3,,4588.9,,34469.5,2983.2,,,5965,,27517.3,2559.1,3917,4158,,6596.8,4571.5,,3534.3,43759,12445,16223.2,4811.9,6837
4-methyl-2-oxopentanoate,6026.4,10824,3623.7,4217.9,4722.7,47125.9,56654.7,5019.7,9664.1,11940.5,10612,4408.1,9315.4,136825.8,51852.6,,11646.8,,6671.1,3444.4,,,4789.7,17120.7,20484,4590.5,8702.4,4216.7,6370.1,13673.3
4-nitrophenol,4370.8,7559.5,7421.8,7328,7272.9,,12482.5,10200.3,3356.4,7783.7,5438.5,11170,4907,5382.3,5090.4,9490.7,6311,11523.4,5650.2,6439.4,8817.1,8054.7,8745,15147.1,4100.2,7777,5014.4,4099.6,7560.5,6773.1
"5,6-dihydrouracil",313046.4,419649.4,635831.1,241816.1,163089,76387,,94592,206172.3,75646.1,499558.5,89662.2,370995.8,66619.4,70943.5,,622041.8,137539,166416.8,,198778,416055.3,199009,65111,638040.6,236439.3,240916.9,395131,76085.4,91705
5-methyltetrahydrofolate (5MeTHF),3214.1,8237.3,4347.5,5224.1,3333.9,,,,2773.2,,13486.9,3100.2,,,,3080.9,6037.8,7788.6,4792.5,3974.2,,15196.3,,13544.5,13219.8,4392.9,3096.8,2728,,
5-methylthioadenosine (MTA),131405.8,99423.4,196874.9,137779,134181.1,17055.3,16637.1,84253.1,61428.5,16439.7,320245.9,119959.3,56600.3,10717.6,21550.8,33502.6,247378.3,166294.2,320269.7,23848.4,183420.9,142616.2,138191.6,255976.4,338776.9,108444.7,102817.9,125917.7,84032,57215.4
5-methyluridine (ribothymidine),,,,,,1987.5,,,,,3847.7,,,2054.9,,,4626.5,,,1332.6,,,,3102.6,8105,5359.5,,,3681.8,
5-oxoproline,527946.5,308358.8,1251428.8,650208,511324.8,108502.7,64281.9,207759.7,164777,109024.8,251848.9,440977.7,249164.4,167072.7,224306.2,186996.4,296762.5,231087.9,978693.7,826001.3,655022.6,337868.2,258072.6,203157.5,863513.8,511025.6,869090.2,592813,711084.9,407444.7
6'-sialyllactose,,58554,156135.5,49247,107943,,,38931,,,764564.8,,,,,58409,74650.6,159978.7,151897.5,,3085374,280335.6,77586,198415.6,149174.8,153899,64085,97577,,
6-phosphogluconate,45692.5,46646.2,15776.5,166002,139661.6,6371.4,,40096.7,15060.4,4014.6,37969.2,93415.7,15711.8,6101.9,13126.8,16700.1,30543.1,90003.5,121133.2,48502.8,262833.5,66643.2,18686.8,107133.3,14686,64756.4,37613.6,36180.8,38680.8,24406.9
7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),47110.8,178300.3,42265.4,35267.8,21191.4,36498.5,53720.3,11480.1,28775.2,21300.1,45957.9,43529.3,55411.3,37177.1,161665.7,70587.5,61092,24709.3,11933,29916.7,20960.9,16450.1,47179.3,68119.4,55757.6,106444.6,50328.8,32157.7,22533,42996.7
Ac-Ser-Asp-Lys-Pro-OH,31418.4,44714.5,132624.2,97292.7,39710.4,,,12727.2,23432.9,,81438.7,11543.5,33706.4,,,18950.1,116770.8,22596,40314.9,31679.5,46682.2,115432.1,41392.4,18359.5,150139.1,123287.8,57085.1,46781.6,21833.2,22800.2
acetyl CoA,,,,2728.9,8525.1,,,,,,12653,,,,,3706,,12165.6,6791.7,2856.1,24482.9,4408.2,,9915.5,,,3280.1,2145.9,,
acetylcarnitine,2741116.5,2780790.5,2023991.9,2327342.5,5624448.5,873165.8,1263970,5133180,4518418,1284349.1,5415409.5,2605688.3,1885547.1,788901,988787.1,3500415.5,4158708.5,3746871.3,4803502,7526671,3632028.3,2200437.8,3608045,3809507.8,1732954.3,4518898.5,4391305,3135125.8,2706134.5,3518741.3
adenine,68501.6,58244.7,51063.5,79159.8,86206.6,33391.2,17120,55563.7,69608,21012.3,142325.2,43782.3,25803.4,13159.5,16206.3,97191.4,38513.6,93127.4,97565.5,41133.1,328452.2,107911,37417.1,50456.3,64142.1,40061.8,48466.2,53581.4,37685.4,36676.5
adenosine,1306387.8,739671.4,1868020.4,1529203.6,2182054.5,309912.4,288890.8,1967116.4,1967272,137346.8,3350424.3,1022470.4,2082988.6,364866.5,555952,515488.9,2214248.8,2314024.5,1514397.9,1610803.6,4989796.5,3320436.8,1256776.3,585850.6,1190299.4,957241,2408093.8,1815223.4,1883291.3,919747.1
